ciudad_destino__central_may;ciudad_destino;central_may
Armenia, Mercar;Armenia;Mercar
Barranquilla, Barranquillita;Barranquilla;Barranquillita
Barranquilla, Granabastos;Barranquilla;Granabastos
Bogotá, D.C., Corabastos;Bogotá D.C.;Corabastos
Bogotá, D.C., Paloquemao;Bogotá D.C.;Paloquemao
Bogotá, D.C., Plaza Las Flores;Bogotá D.C.;Plaza Las Flores
Bogotá, D.C., Plaza Samper Mendoza;Bogotá D.C.;Plaza Samper Mendoza
Bucaramanga, Centroabastos;Bucaramanga;Centroabastos
Cali, Cavasa;Cali;Cavasa
Cali, Santa Elena;Cali;Santa Elena
Cartagena, Bazurto;Cartagena;Bazurto
Cúcuta, Cenabastos;Cúcuta;Cenabastos
Cúcuta, La Nueva Sexta;Cúcuta;La Nueva Sexta
Florencia (Caquetá);Florencia;Florencia
Ibagué, Plaza La 21;Ibagué;Plaza La 21
Ipiales (Nariño), Centro de acopio;Ipiales (Nariño);Centro de acopio
Manizales, Centro Galerías;Manizales;Centro Galerías
Medellín, Central Mayorista de Antioquia;Medellín;Central Mayorista de Antioquia
Medellín, Plaza Minorista "José María Villa";Medellín;Plaza Minorista José María Villa
Montería, Mercado del Sur;Montería;Mercado del Sur
Neiva, Surabastos;Neiva;Surabastos
Pasto, El Potrerillo;Pasto;El Potrerillo
Pereira, La 41;Pereira;La 41
Pereira, La 41-Impala;Pereira;La 41-Impala
Pereira, Mercasa;Pereira;Mercasa
Popayán, Plaza de mercado del barrio Bolívar;Popayán;Plaza de mercado del barrio Bolívar
Santa Marta (Magdalena);Santa Marta;Santa Marta
Sincelejo, Nuevo Mercado;Sincelejo;Nuevo Mercado
Tibasosa (Boyacá), Coomproriente;Tibasosa (Boyacá);Coomproriente
Tunja, Complejo de Servicios del Sur;Tunja;Complejo de Servicios del Sur
Valledupar, Mercabastos;Valledupar;Mercabastos
Valledupar, Mercado Nuevo;Valledupar;Mercado Nuevo
Villavicencio, CAV;Villavicencio;CAV
