central_may;ciudad_destino;lat;lon
Mercar;Armenia;4.5339;-75.6811
Barranquillita;Barranquilla;10.9685;-74.7813
Granabastos;Barranquilla;10.9630;-74.7950
Corabastos;Bogotá D.C.;4.5976;-74.1649
Paloquemao;Bogotá D.C.;4.6097;-74.0933
Plaza Las Flores;Bogotá D.C.;4.6090;-74.1230
Plaza Samper Mendoza;Bogotá D.C.;4.6480;-74.0880
Centroabastos;Bucaramanga;7.0690;-73.1350
Cavasa;Cali;3.3960;-76.5250
Santa Elena;Cali;3.4330;-76.5610
Bazurto;Cartagena;10.4060;-75.5240
Cenabastos;Cúcuta;7.9017;-72.5155
La Nueva Sexta;Cúcuta;7.9020;-72.5100
Florencia;Florencia;1.6144;-75.6062
Plaza La 21;Ibagué;4.4389;-75.2322
Centro de acopio;Ipiales (Nariño);0.8283;-77.6439
Centro Galerías;Manizales;5.0703;-75.5138
Central Mayorista de Antioquia;Medellín;6.2065;-75.6164
Plaza Minorista José María Villa;Medellín;6.2518;-75.5636
Mercado del Sur;Montería;8.7575;-75.8846
Surabastos;Neiva;2.9273;-75.2819
El Potrerillo;Pasto;1.2136;-77.2811
La 41;Pereira;4.8133;-75.6961
La 41-Impala;Pereira;4.8100;-75.7000
Mercasa;Pereira;4.7990;-75.7100
Plaza de mercado del barrio Bolívar;Popayán;2.4448;-76.6147
Santa Marta;Santa Marta;11.2408;-74.2110
Nuevo Mercado;Sincelejo;9.3047;-75.3978
Coomproriente;Tibasosa (Boyacá);5.7635;-72.9969
Complejo de Servicios del Sur;Tunja;5.5353;-73.3678
Mercabastos;Valledupar;10.4631;-73.2532
Mercado Nuevo;Valledupar;10.4660;-73.2500
CAV;Villavicencio;4.1534;-73.6352
