cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
05001;05;ANTIOQUIA;MEDELLÍN;6.2697324;-75.6025597
05002;05;ANTIOQUIA;ABEJORRAL;5.7914299;-75.4270381
05004;05;ANTIOQUIA;ABRIAQUÍ;6.631864;-76.0645258
05021;05;ANTIOQUIA;ALEJANDRÍA;6.3769175;-75.1411601
05030;05;ANTIOQUIA;AMAGÁ;6.0406977;-75.7030694
05031;05;ANTIOQUIA;AMALFI;6.9070097;-75.0735908
05034;05;ANTIOQUIA;ANDES;5.6556134;-75.8776753
05036;05;ANTIOQUIA;ANGELÓPOLIS;6.1115405;-75.7102848
05038;05;ANTIOQUIA;ANGOSTURA;6.8858191;-75.3349565
05040;05;ANTIOQUIA;ANORÍ;7.0736127;-75.1466433
05042;05;ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;6.5401946;-75.9159851
05044;05;ANTIOQUIA;ANZÁ;6.3034529;-75.8540836
05045;05;ANTIOQUIA;APARTADÓ;7.8849011;-76.6227461
05051;05;ANTIOQUIA;ARBOLETES;8.8528266;-76.4273168
05055;05;ANTIOQUIA;ARGELIA;5.7310785;-75.1428525
05059;05;ANTIOQUIA;ARMENIA;6.1561777;-75.7870472
05079;05;ANTIOQUIA;BARBOSA;6.4370185;-75.3313779
05086;05;ANTIOQUIA;BELMIRA;6.606779;-75.667459
05088;05;ANTIOQUIA;BELLO;6.334997;-75.5582665
05091;05;ANTIOQUIA;BETANIA;5.7451779;-75.9768362
05093;05;ANTIOQUIA;BETULIA;6.1134294;-75.9845433
05101;05;ANTIOQUIA;CIUDAD BOLÍVAR;5.8500342;-76.0208666
05107;05;ANTIOQUIA;BRICEÑO;7.1231235;-75.5818421
05113;05;ANTIOQUIA;BURITICÁ;6.719853;-75.9068707
05120;05;ANTIOQUIA;CÁCERES;7.577089;-75.3514383
05125;05;ANTIOQUIA;CAICEDO;6.405955;-75.9825592
05129;05;ANTIOQUIA;CALDAS;6.0918609;-75.6356917
05134;05;ANTIOQUIA;CAMPAMENTO;6.9790857;-75.2963715
05138;05;ANTIOQUIA;CAÑASGORDAS;6.7519854;-76.0261638
05142;05;ANTIOQUIA;CARACOLÍ;6.4092756;-74.7566979
05145;05;ANTIOQUIA;CARAMANTA;5.5487065;-75.6444056
05147;05;ANTIOQUIA;CAREPA;7.7984516;-76.7460389
05148;05;ANTIOQUIA;EL CARMEN DE VIBORAL;6.0833063;-75.3353501
05150;05;ANTIOQUIA;CAROLINA;7.1050317;-75.3869174
05154;05;ANTIOQUIA;CAUCASIA;7.9877579;-75.1983745
05172;05;ANTIOQUIA;CHIGORODÓ;7.6129384;-76.638426
05190;05;ANTIOQUIA;CISNEROS;6.5382418;-75.0871316
05197;05;ANTIOQUIA;COCORNÁ;6.0580111;-75.1859102
05206;05;ANTIOQUIA;CONCEPCIÓN;6.3953198;-75.259323
05209;05;ANTIOQUIA;CONCORDIA;6.0457595;-75.9074199
05212;05;ANTIOQUIA;COPACABANA;6.3461047;-75.5080262
05234;05;ANTIOQUIA;DABEIBA;7.0015209;-76.2666243
05237;05;ANTIOQUIA;DONMATÍAS;6.4862703;-75.3946313
05240;05;ANTIOQUIA;EBÉJICO;6.3265312;-75.7685045
05250;05;ANTIOQUIA;EL BAGRE;7.5989686;-74.8046507
05264;05;ANTIOQUIA;ENTRERRÍOS;6.5915992;-75.5622405
05266;05;ANTIOQUIA;ENVIGADO;6.1701348;-75.587415
05282;05;ANTIOQUIA;FREDONIA;5.9270644;-75.6718221
05284;05;ANTIOQUIA;FRONTINO;6.7721761;-76.1311575
05306;05;ANTIOQUIA;GIRALDO;6.6804539;-75.95338
05308;05;ANTIOQUIA;GIRARDOTA;6.3773809;-75.4459762
05310;05;ANTIOQUIA;GÓMEZ PLATA;6.6815224;-75.2194104
05313;05;ANTIOQUIA;GRANADA;6.1442998;-75.1844057
05315;05;ANTIOQUIA;GUADALUPE;6.8149918;-75.2403991
05318;05;ANTIOQUIA;GUARNE;6.2800171;-75.4426875
05321;05;ANTIOQUIA;GUATAPÉ;6.2342179;-75.1617452
05347;05;ANTIOQUIA;HELICONIA;6.2076404;-75.7339685
05353;05;ANTIOQUIA;HISPANIA;5.799535;-75.9073763
05360;05;ANTIOQUIA;ITAGÜÍ;6.1724352;-75.6093254
05361;05;ANTIOQUIA;ITUANGO;7.1723319;-75.7640925
05364;05;ANTIOQUIA;JARDÍN;5.5990503;-75.8191833
05368;05;ANTIOQUIA;JERICÓ;5.7914622;-75.7862133
05376;05;ANTIOQUIA;LA CEJA;6.0309532;-75.4316155
05380;05;ANTIOQUIA;LA ESTRELLA;6.1576781;-75.6433878
05390;05;ANTIOQUIA;LA PINTADA;5.7466446;-75.6054273
05400;05;ANTIOQUIA;LA UNIÓN;5.9737744;-75.3613093
05411;05;ANTIOQUIA;LIBORINA;6.6781311;-75.8112309
05425;05;ANTIOQUIA;MACEO;6.5535012;-74.7877474
05440;05;ANTIOQUIA;MARINILLA;6.1736417;-75.3346548
