grupo_productos;subgrupo_producto;producto;alim_priori178
CARNES;Carnes otras;Carnes otras;1
CARNES;Cerdo;Carne de cerdo;1
CARNES;Cerdo;Cerdo en pie;1
CARNES;Pollo;Carne de pollo;1
CARNES;Pollo;Gallina en pie;1
CARNES;Pollo;Pollo en pie;1
CARNES;Res;Carne de res;1
CARNES;Res;Res en pie;1
FRUTAS;Aguacate;Aguacate Choquette;1
FRUTAS;Aguacate;Aguacate Hass;1
FRUTAS;Aguacate;Aguacate común;1
FRUTAS;Aguacate;Aguacate papelillo;1
FRUTAS;Aguacate;Aguacates otros;1
FRUTAS;Banano;Banano Urabá;1
FRUTAS;Banano;Banano bocadillo;1
FRUTAS;Banano;Banano criollo;1
FRUTAS;Banano;Bananos otros;1
FRUTAS;Ciruela;Ciruela importada;0
FRUTAS;Ciruela;Ciruela nacional;0
FRUTAS;Coco;Coco;0
FRUTAS;Curuba;Curuba;0
FRUTAS;Durazno;Durazno importado;0
FRUTAS;Durazno;Durazno nacional;0
FRUTAS;Fresa;Fresa;0
FRUTAS;Frutas otras;Frutas importadas otras;0
FRUTAS;Frutas otras;Frutas otras;0
FRUTAS;Granadilla;Granadilla;0
FRUTAS;Guanábana;Guanábana;0
FRUTAS;Guayaba;Guayaba común;1
FRUTAS;Guayaba;Guayaba pera;1
FRUTAS;Guayaba;Guayabas otras;1
FRUTAS;Gulupa;Gulupa;0
FRUTAS;Kiwi;Kiwi;0
FRUTAS;Limón;Limón Tahití;1
FRUTAS;Limón;Limón común;1
FRUTAS;Limón;Limón mandarino;1
FRUTAS;Lulo;Lulo;1
FRUTAS;Mandarina;Mandarina Arrayana;1
FRUTAS;Mandarina;Mandarina Oneco;1
FRUTAS;Mandarina;Mandarina común;1
FRUTAS;Mandarina;Mandarinas otras;1
FRUTAS;Mango;Mango Tommy;1
FRUTAS;Mango;Mango Yulima;1
FRUTAS;Mango;Mango común;1
FRUTAS;Mango;Mango de azúcar;1
FRUTAS;Mango;Mangos otros;1
FRUTAS;Manzana;Manzana importada;0
FRUTAS;Manzana;Manzana nacional;0
FRUTAS;Maracuyá;Maracuyá;1
FRUTAS;Melón;Melón;0
FRUTAS;Mora;Mora;1
FRUTAS;Naranja;Naranja Valencia;1
FRUTAS;Naranja;Naranja Valencia y/o Sweet;1
FRUTAS;Naranja;Naranja común;1
FRUTAS;Naranja;Naranjas otras;1
FRUTAS;Naranja;Tangelo;0
FRUTAS;Papaya;Papaya Maradol;1
FRUTAS;Papaya;Papaya Paulina;1
FRUTAS;Papaya;Papaya hawaiana;1
FRUTAS;Papaya;Papaya tainung;1
FRUTAS;Papaya;Papayas otras;1
FRUTAS;Patilla;Patilla;0
FRUTAS;Patilla;Patilla baby;0
FRUTAS;Pera;Pera importada;0
FRUTAS;Pera;Pera nacional;0
FRUTAS;Pitahaya;Pitahaya;0
FRUTAS;Piña;Piña gold;1
FRUTAS;Piña;Piña perolera;1
