cod_muni;municipio;cod_depto;departamento;provincia;rc_total;rc_externa;rmbc;muni_conmutados;terri_funcional;muni_priori178;muni_muestra178
05001;Medellín;05;Antioquia;Valle Del Aburra;0;0;0;0;Ninguno;Ninguno;0
05002;Abejorral;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
05004;Abriaquí;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05021;Alejandría;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
05030;Amaga;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05031;Amalfi;05;Antioquia;Nordeste;0;0;0;0;Ninguno;Ninguno;0
05034;Andes;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05036;Angelopolis;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05038;Angostura;05;Antioquia;Norte;0;0;0;0;Ninguno;Ninguno;0
05040;Anorí;05;Antioquia;Nordeste;0;0;0;0;Ninguno;Ninguno;0
05042;Santafé De Antioquia;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05044;Anza;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05045;Apartadó;05;Antioquia;Uraba;0;0;0;0;Ninguno;Ninguno;0
05051;Arboletes;05;Antioquia;Uraba;0;0;0;0;Ninguno;Ninguno;0
05055;Argelia;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
05059;Armenia;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05079;Barbosa;05;Antioquia;Valle Del Aburra;0;0;0;0;Ninguno;Ninguno;0
05086;Belmira;05;Antioquia;Norte;0;0;0;0;Ninguno;Ninguno;0
05088;Bello;05;Antioquia;Valle Del Aburra;0;0;0;0;Ninguno;Ninguno;0
05091;Betania;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05093;Betulia;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05101;Ciudad Bolívar;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05107;Briceño;05;Antioquia;Norte;0;0;0;0;Ninguno;Ninguno;0
05113;Buriticá;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05120;Cáceres;05;Antioquia;Bajo Cauca;0;0;0;0;Ninguno;Ninguno;0
05125;Caicedo;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05129;Caldas;05;Antioquia;Valle Del Aburra;0;0;0;0;Ninguno;Ninguno;0
05134;Campamento;05;Antioquia;Norte;0;0;0;0;Ninguno;Ninguno;0
05138;Cañasgordas;05;Antioquia;Occidente;0;0;0;0;Ninguno;Ninguno;0
05142;Caracolí;05;Antioquia;Magdalena Medio;0;0;0;0;Ninguno;Ninguno;0
05145;Caramanta;05;Antioquia;Suroeste;0;0;0;0;Ninguno;Ninguno;0
05147;Carepa;05;Antioquia;Uraba;0;0;0;0;Ninguno;Ninguno;0
05148;Carmen De Viboral;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
05150;Carolina;05;Antioquia;Norte;0;0;0;0;Ninguno;Ninguno;0
05154;Caucasia;05;Antioquia;Bajo Cauca;0;0;0;0;Ninguno;Ninguno;0
05172;Chigorodó;05;Antioquia;Uraba;0;0;0;0;Ninguno;Ninguno;0
05190;Cisneros;05;Antioquia;Nordeste;0;0;0;0;Ninguno;Ninguno;0
05197;Cocorná;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
05206;Concepción;05;Antioquia;Oriente;0;0;0;0;Ninguno;Ninguno;0
